(s,b,c) : belief state id
76,[0.659864 0.340136],17 : 588
77,[0.659864 0.340136],17 : 589
67,[0.659864 0.340136],12 : 590
58,[0.708029 0.291971],13 : 591
67,[0.668965 0.331035],14 : 592
68,[0.923809 0.0761905],14 : 593
69,[0.901649 0.0983509],14 : 594
69,[0.708029 0.291971],18 : 595
66,[0.708029 0.291971],13 : 596
75,[0.708029 0.291971],18 : 597
76,[0.708029 0.291971],18 : 598
77,[0.708029 0.291971],18 : 599
67,[0 1],13 : 600
68,[0.708029 0.291971],13 : 601
59,[0.751938 0.248062],14 : 602
69,[0.751938 0.248062],14 : 603
79,[0.751938 0.248062],14 : 604
77,[0.923809 0.0761905],18 : 605
78,[0.708029 0.291971],13 : 606
56,[1 0],17 : 607
66,[1 0],17 : 608
76,[0.906542 0.093458],17 : 609
77,[0 1],17 : 610
78,[0 1],17 : 611
68,[0.659864 0.340136],12 : 612
59,[0.708029 0.291971],13 : 613
48,[0.6542 0.3458],14 : 614
58,[0.801653 0.198347],14 : 615
59,[0.688092 0.311908],14 : 616
68,[0.801653 0.198347],14 : 617
69,[0.801653 0.198347],14 : 618
68,[0.923809 0.0761905],18 : 619
68,[0 1],13 : 620
69,[0.708029 0.291971],13 : 621
69,[0.638758 0.361242],14 : 622
78,[0.923809 0.0761905],18 : 623
79,[0.708029 0.291971],13 : 624
57,[1 0],17 : 625
67,[1 0],17 : 626
77,[0.906542 0.093458],17 : 627
79,[0 1],17 : 628
58,[0.920886 0.079114],7 : 629
59,[0.897969 0.102031],7 : 630
57,[0.699519 0.300481],11 : 631
46,[0 1],12 : 632
48,[0.80508 0.19492],12 : 633
56,[0 1],12 : 634
57,[0 1],12 : 635
58,[0.853372 0.146628],12 : 636
66,[0.492386 0.507614],12 : 637
55,[0.548022 0.451978],13 : 638
66,[0.820912 0.179088],14 : 639
64,[0.548022 0.451978],18 : 640
65,[0.548022 0.451978],18 : 641
66,[0.548022 0.451978],18 : 642
56,[0.548022 0.451978],13 : 643
45,[0.586586 0.413414],14 : 644
67,[0.696226 0.303774],14 : 645
67,[0.548022 0.451978],18 : 646
57,[0.548022 0.451978],13 : 647
48,[0.682661 0.317339],14 : 648
66,[0.33564 0.66436],14 : 649
68,[0.548022 0.451978],18 : 650
65,[0.548022 0.451978],13 : 651
54,[0.602484 0.397516],14 : 652
55,[0.602484 0.397516],14 : 653
56,[0.602484 0.397516],14 : 654
64,[0.602484 0.397516],14 : 655
66,[0.602484 0.397516],14 : 656
74,[0.602484 0.397516],14 : 657
75,[0.602484 0.397516],14 : 658
76,[0.602484 0.397516],14 : 659
76,[0.789861 0.210139],18 : 660
67,[0.548022 0.451978],13 : 661
57,[0.602484 0.397516],14 : 662
58,[0.602484 0.397516],14 : 663
68,[0.602484 0.397516],14 : 664
77,[0.602484 0.397516],14 : 665
