(s,b,c) : belief state id
67,[0.663564 0.336436],17 : 10018
68,[0.663564 0.336436],17 : 10019
58,[0.922082 0.0779181],12 : 10020
59,[0.899474 0.100526],12 : 10021
57,[0.702982 0.297018],16 : 10022
58,[0.702982 0.297018],16 : 10023
59,[0.702982 0.297018],16 : 10024
49,[0.934214 0.0657861],11 : 10025
48,[0.739594 0.260406],15 : 10026
58,[0.934214 0.0657861],16 : 10027
59,[0.914801 0.0851993],16 : 10028
57,[0.739594 0.260406],20 : 10029
58,[0.739594 0.260406],20 : 10030
59,[0.739594 0.260406],20 : 10031
49,[0.739594 0.260406],15 : 10032
59,[0.934214 0.0657861],16 : 10033
39,[0.800082 0.199918],5 : 10034
49,[0.493955 0.506045],5 : 10035
58,[0.448557 0.551443],6 : 10036
67,[0.404 0.596],7 : 10037
56,[0.458674 0.541326],8 : 10038
45,[0.497876 0.502124],9 : 10039
54,[0.45244 0.54756],10 : 10040
55,[0.83215 0.16785],10 : 10041
56,[0.789407 0.210593],10 : 10042
54,[0.497876 0.502124],14 : 10043
55,[0.497876 0.502124],14 : 10044
56,[0.497876 0.502124],14 : 10045
55,[0.679311 0.320689],9 : 10046
64,[0.638368 0.361632],10 : 10047
65,[0.913729 0.0862705],10 : 10048
66,[0.88899 0.11101],10 : 10049
64,[0.679311 0.320689],14 : 10050
65,[0.679311 0.320689],14 : 10051
66,[0.679311 0.320689],14 : 10052
65,[0.679311 0.320689],9 : 10053
54,[0.725867 0.274133],10 : 10054
55,[0.725867 0.274133],10 : 10055
56,[0.725867 0.274133],10 : 10056
64,[0.725867 0.274133],10 : 10057
66,[0.725867 0.274133],10 : 10058
74,[0.725867 0.274133],10 : 10059
75,[0.725867 0.274133],10 : 10060
76,[0.725867 0.274133],10 : 10061
76,[0.867842 0.132158],14 : 10062
66,[0.679311 0.320689],9 : 10063
57,[0.725867 0.274133],10 : 10064
65,[0.725867 0.274133],10 : 10065
67,[0.725867 0.274133],10 : 10066
77,[0.725867 0.274133],10 : 10067
75,[0.679311 0.320689],14 : 10068
76,[0.679311 0.320689],14 : 10069
77,[0.679311 0.320689],14 : 10070
67,[0.615626 0.384374],9 : 10071
56,[0.666893 0.333107],10 : 10072
57,[0.666893 0.333107],10 : 10073
58,[0.666893 0.333107],10 : 10074
66,[0.666893 0.333107],10 : 10075
68,[0.666893 0.333107],10 : 10076
76,[0.666893 0.333107],10 : 10077
77,[0.666893 0.333107],10 : 10078
78,[0.666893 0.333107],10 : 10079
76,[0.88899 0.11101],14 : 10080
65,[0.458674 0.541326],13 : 10081
54,[0.514361 0.485639],14 : 10082
55,[0.514361 0.485639],14 : 10083
56,[0.514361 0.485639],14 : 10084
64,[0.514361 0.485639],14 : 10085
66,[0.514361 0.485639],14 : 10086
74,[0.514361 0.485639],14 : 10087
75,[0.514361 0.485639],14 : 10088
76,[0.514361 0.485639],14 : 10089
76,[0.724266 0.275734],18 : 10090
66,[0.458674 0.541326],13 : 10091
57,[0.514361 0.485639],14 : 10092
65,[0.514361 0.485639],14 : 10093
67,[0.514361 0.485639],14 : 10094
77,[0.514361 0.485639],14 : 10095
75,[0.458674 0.541326],18 : 10096
76,[0.458674 0.541326],18 : 10097
77,[0.458674 0.541326],18 : 10098
67,[0.458674 0.541326],13 : 10099
58,[0.514361 0.485639],14 : 10100
68,[0.514361 0.485639],14 : 10101
78,[0.514361 0.485639],14 : 10102
76,[0.809036 0.190964],18 : 10103
57,[0.458674 0.541326],8 : 10104
48,[0.600528 0.399472],9 : 10105
57,[0.556098 0.443902],10 : 10106
58,[0.882581 0.117419],10 : 10107
59,[0.850371 0.149629],10 : 10108
57,[0.600528 0.399472],14 : 10109
58,[0.600528 0.399472],14 : 10110
59,[0.600528 0.399472],14 : 10111
58,[0.679311 0.320689],9 : 10112
67,[0.638368 0.361632],10 : 10113
68,[0.913729 0.0862705],10 : 10114
69,[0.88899 0.11101],10 : 10115
67,[0.679311 0.320689],14 : 10116
68,[0.679311 0.320689],14 : 10117
69,[0.679311 0.320689],14 : 10118
66,[0.260928 0.739072],9 : 10119
55,[0.306187 0.693813],10 : 10120
56,[0.306187 0.693813],10 : 10121
57,[0.306187 0.693813],10 : 10122
65,[0.306187 0.693813],10 : 10123
67,[0.306187 0.693813],10 : 10124
75,[0.306187 0.693813],10 : 10125
76,[0.306187 0.693813],10 : 10126
77,[0.306187 0.693813],10 : 10127
75,[0.260928 0.739072],14 : 10128
76,[0.260928 0.739072],14 : 10129
77,[0.260928 0.739072],14 : 10130
67,[0.679311 0.320689],9 : 10131
58,[0.725867 0.274133],10 : 10132
68,[0.725867 0.274133],10 : 10133
78,[0.725867 0.274133],10 : 10134
76,[0.913729 0.0862705],14 : 10135
68,[0.679311 0.320689],9 : 10136
59,[0.725867 0.274133],10 : 10137
69,[0.725867 0.274133],10 : 10138
79,[0.725867 0.274133],10 : 10139
77,[0.913729 0.0862705],14 : 10140
68,[0.458674 0.541326],13 : 10141
59,[0.514361 0.485639],14 : 10142
69,[0.514361 0.485639],14 : 10143
79,[0.514361 0.485639],14 : 10144
77,[0.809036 0.190964],18 : 10145
58,[0.458674 0.541326],8 : 10146
67,[0.413867 0.586133],9 : 10147
56,[0.468825 0.531175],10 : 10148
57,[0.468825 0.531175],10 : 10149
58,[0.468825 0.531175],10 : 10150
66,[0.468825 0.531175],10 : 10151
68,[0.468825 0.531175],10 : 10152
76,[0.468825 0.531175],10 : 10153
77,[0.468825 0.531175],10 : 10154
78,[0.468825 0.531175],10 : 10155
76,[0.779273 0.220727],14 : 10156
68,[0.809036 0.190964],9 : 10157
69,[0.76209 0.23791],9 : 10158
58,[0.800163 0.199837],10 : 10159
59,[0.800163 0.199837],10 : 10160
68,[0.800163 0.199837],10 : 10161
69,[0.700214 0.299786],10 : 10162
78,[0.800163 0.199837],10 : 10163
79,[0.800163 0.199837],10 : 10164
78,[0.941233 0.0587671],14 : 10165
69,[0.458674 0.541326],13 : 10166
69,[0.38189 0.61811],14 : 10167
78,[0.809036 0.190964],18 : 10168
66,[0.458674 0.541326],8 : 10169
55,[0.514361 0.485639],9 : 10170
64,[0.468825 0.531175],10 : 10171
65,[0.841162 0.158838],10 : 10172
66,[0.800163 0.199837],10 : 10173
56,[0.514361 0.485639],9 : 10174
45,[0.553457 0.446543],10 : 10175
67,[0.666893 0.333107],10 : 10176
57,[0.514361 0.485639],9 : 10177
48,[0.652673 0.347327],10 : 10178
66,[0.306187 0.693813],10 : 10179
65,[0.514361 0.485639],9 : 10180
54,[0.569695 0.430305],10 : 10181
55,[0.569695 0.430305],10 : 10182
56,[0.569695 0.430305],10 : 10183
64,[0.569695 0.430305],10 : 10184
66,[0.569695 0.430305],10 : 10185
74,[0.569695 0.430305],10 : 10186
75,[0.569695 0.430305],10 : 10187
76,[0.569695 0.430305],10 : 10188
76,[0.766538 0.233462],14 : 10189
67,[0.514361 0.485639],9 : 10190
57,[0.569695 0.430305],10 : 10191
58,[0.569695 0.430305],10 : 10192
68,[0.569695 0.430305],10 : 10193
77,[0.569695 0.430305],10 : 10194
78,[0.569695 0.430305],10 : 10195
76,[0.841162 0.158838],14 : 10196
75,[0.514361 0.485639],9 : 10197
65,[0.569695 0.430305],10 : 10198
84,[0.569695 0.430305],10 : 10199
85,[0.569695 0.430305],10 : 10200
86,[0.569695 0.430305],10 : 10201
86,[0.766538 0.233462],14 : 10202
76,[0.514361 0.485639],9 : 10203
67,[0.569695 0.430305],10 : 10204
87,[0.569695 0.430305],10 : 10205
77,[0.514361 0.485639],9 : 10206
75,[0.458674 0.541326],13 : 10207
84,[0.514361 0.485639],14 : 10208
85,[0.514361 0.485639],14 : 10209
86,[0.514361 0.485639],14 : 10210
86,[0.724266 0.275734],18 : 10211
76,[0.458674 0.541326],13 : 10212
87,[0.514361 0.485639],14 : 10213
77,[0.458674 0.541326],13 : 10214
68,[0.458674 0.541326],8 : 10215
58,[0.514361 0.485639],9 : 10216
67,[0.468825 0.531175],10 : 10217
68,[0.841162 0.158838],10 : 10218
69,[0.800163 0.199837],10 : 10219
59,[0.514361 0.485639],9 : 10220
48,[0.45244 0.54756],10 : 10221
58,[0.638368 0.361632],10 : 10222
59,[0.490712 0.509288],10 : 10223
68,[0.638368 0.361632],10 : 10224
69,[0.638368 0.361632],10 : 10225
68,[0.841162 0.158838],14 : 10226
69,[0.514361 0.485639],9 : 10227
59,[0.569695 0.430305],10 : 10228
69,[0.435759 0.564241],10 : 10229
79,[0.569695 0.430305],10 : 10230
78,[0.841162 0.158838],14 : 10231
78,[0.514361 0.485639],9 : 10232
79,[0.514361 0.485639],9 : 10233
77,[0.809036 0.190964],13 : 10234
76,[0.458674 0.541326],8 : 10235
66,[0.514361 0.485639],9 : 10236
85,[0.514361 0.485639],9 : 10237
94,[0.569695 0.430305],10 : 10238
95,[0.569695 0.430305],10 : 10239
96,[0.569695 0.430305],10 : 10240
86,[0.514361 0.485639],9 : 10241
97,[0.569695 0.430305],10 : 10242
87,[0.514361 0.485639],9 : 10243
77,[0.458674 0.541326],8 : 10244
78,[0.458674 0.541326],8 : 10245
76,[0.772171 0.227829],12 : 10246
65,[0.809036 0.190964],13 : 10247
66,[0.809036 0.190964],13 : 10248
67,[0.809036 0.190964],13 : 10249
75,[0.809036 0.190964],13 : 10250
85,[0.809036 0.190964],13 : 10251
86,[0.809036 0.190964],13 : 10252
87,[0.809036 0.190964],13 : 10253
68,[0.802649 0.197351],7 : 10254
69,[0.754609 0.245391],7 : 10255
58,[0.793556 0.206444],8 : 10256
67,[0.76209 0.23791],9 : 10257
56,[0.800163 0.199837],10 : 10258
57,[0.800163 0.199837],10 : 10259
76,[0.800163 0.199837],10 : 10260
77,[0.800163 0.199837],10 : 10261
76,[0.941233 0.0587671],14 : 10262
68,[0.950543 0.049457],9 : 10263
69,[0.935616 0.0643837],9 : 10264
67,[0.793556 0.206444],13 : 10265
56,[0.827732 0.172268],14 : 10266
57,[0.827732 0.172268],14 : 10267
58,[0.827732 0.172268],14 : 10268
66,[0.827732 0.172268],14 : 10269
68,[0.827732 0.172268],14 : 10270
76,[0.827732 0.172268],14 : 10271
77,[0.827732 0.172268],14 : 10272
78,[0.827732 0.172268],14 : 10273
76,[0.950543 0.049457],18 : 10274
68,[0.793556 0.206444],13 : 10275
59,[0.827732 0.172268],14 : 10276
67,[0.827732 0.172268],14 : 10277
69,[0.827732 0.172268],14 : 10278
79,[0.827732 0.172268],14 : 10279
77,[0.950543 0.049457],18 : 10280
69,[0.793556 0.206444],13 : 10281
69,[0.73704 0.26296],14 : 10282
78,[0.950543 0.049457],18 : 10283
59,[0.793556 0.206444],8 : 10284
48,[0.749925 0.250075],9 : 10285
57,[0.714204 0.285796],10 : 10286
58,[0.937477 0.0625234],10 : 10287
59,[0.918943 0.0810574],10 : 10288
57,[0.749925 0.250075],14 : 10289
58,[0.749925 0.250075],14 : 10290
59,[0.749925 0.250075],14 : 10291
58,[0.864984 0.135016],9 : 10292
59,[0.777625 0.222375],9 : 10293
48,[0.731765 0.268235],10 : 10294
58,[0.853548 0.146452],10 : 10295
59,[0.760835 0.239165],10 : 10296
68,[0.853548 0.146452],10 : 10297
69,[0.853548 0.146452],10 : 10298
68,[0.945901 0.0540994],14 : 10299
68,[0.864984 0.135016],9 : 10300
69,[0.864984 0.135016],9 : 10301
68,[0.950543 0.049457],13 : 10302
68,[0.793556 0.206444],8 : 10303
57,[0.827732 0.172268],9 : 10304
58,[0.827732 0.172268],9 : 10305
59,[0.827732 0.172268],9 : 10306
67,[0.827732 0.172268],9 : 10307
69,[0.827732 0.172268],9 : 10308
77,[0.827732 0.172268],9 : 10309
78,[0.827732 0.172268],9 : 10310
79,[0.827732 0.172268],9 : 10311
77,[0.950543 0.049457],13 : 10312
69,[0.691576 0.308424],8 : 10313
58,[0.73704 0.26296],9 : 10314
67,[0.700214 0.299786],10 : 10315
68,[0.933397 0.0666032],10 : 10316
69,[0.913765 0.0862354],10 : 10317
67,[0.73704 0.26296],14 : 10318
68,[0.73704 0.26296],14 : 10319
59,[0.73704 0.26296],9 : 10320
48,[0.686189 0.313811],10 : 10321
58,[0.823678 0.176322],10 : 10322
59,[0.718296 0.281704],10 : 10323
68,[0.823678 0.176322],10 : 10324
69,[0.823678 0.176322],10 : 10325
68,[0.933397 0.0666032],14 : 10326
68,[0.73704 0.26296],9 : 10327
57,[0.777954 0.222046],10 : 10328
58,[0.777954 0.222046],10 : 10329
59,[0.777954 0.222046],10 : 10330
67,[0.777954 0.222046],10 : 10331
69,[0.777954 0.222046],10 : 10332
77,[0.777954 0.222046],10 : 10333
78,[0.777954 0.222046],10 : 10334
79,[0.777954 0.222046],10 : 10335
77,[0.933397 0.0666032],14 : 10336
69,[0.620493 0.379507],9 : 10337
58,[0.671458 0.328542],10 : 10338
59,[0.671458 0.328542],10 : 10339
68,[0.671458 0.328542],10 : 10340
69,[0.543835 0.456165],10 : 10341
78,[0.671458 0.328542],10 : 10342
79,[0.671458 0.328542],10 : 10343
78,[0.891008 0.108992],14 : 10344
78,[0.73704 0.26296],9 : 10345
79,[0.73704 0.26296],9 : 10346
78,[0.91811 0.0818905],13 : 10347
78,[0.793556 0.206444],8 : 10348
79,[0.793556 0.206444],8 : 10349
78,[0.938934 0.0610662],12 : 10350
67,[0.448557 0.551443],11 : 10351
56,[0.50416 0.49584],12 : 10352
45,[0.543347 0.456653],13 : 10353
55,[0.856099 0.143901],14 : 10354
56,[0.818122 0.181878],14 : 10355
54,[0.543347 0.456653],18 : 10356
55,[0.543347 0.456653],18 : 10357
56,[0.543347 0.456653],18 : 10358
55,[0.717669 0.282331],13 : 10359
65,[0.927059 0.0729409],14 : 10360
66,[0.905748 0.0942525],14 : 10361
64,[0.717669 0.282331],18 : 10362
65,[0.717669 0.282331],18 : 10363
66,[0.717669 0.282331],18 : 10364
65,[0.717669 0.282331],13 : 10365
54,[0.760619 0.239381],14 : 10366
55,[0.760619 0.239381],14 : 10367
56,[0.760619 0.239381],14 : 10368
64,[0.760619 0.239381],14 : 10369
66,[0.760619 0.239381],14 : 10370
74,[0.760619 0.239381],14 : 10371
75,[0.760619 0.239381],14 : 10372
76,[0.760619 0.239381],14 : 10373
76,[0.887388 0.112612],18 : 10374
66,[0.717669 0.282331],13 : 10375
57,[0.760619 0.239381],14 : 10376
65,[0.760619 0.239381],14 : 10377
67,[0.760619 0.239381],14 : 10378
77,[0.760619 0.239381],14 : 10379
75,[0.717669 0.282331],18 : 10380
76,[0.717669 0.282331],18 : 10381
77,[0.717669 0.282331],18 : 10382
67,[0.657764 0.342236],13 : 10383
56,[0.706094 0.293906],14 : 10384
57,[0.706094 0.293906],14 : 10385
58,[0.706094 0.293906],14 : 10386
66,[0.706094 0.293906],14 : 10387
68,[0.706094 0.293906],14 : 10388
76,[0.706094 0.293906],14 : 10389
77,[0.706094 0.293906],14 : 10390
78,[0.706094 0.293906],14 : 10391
76,[0.905748 0.0942525],18 : 10392
65,[0.50416 0.49584],17 : 10393
66,[0.50416 0.49584],17 : 10394
67,[0.50416 0.49584],17 : 10395
57,[0.50416 0.49584],12 : 10396
48,[0.643362 0.356638],13 : 10397
58,[0.900198 0.0998023],14 : 10398
59,[0.87212 0.12788],14 : 10399
57,[0.643362 0.356638],18 : 10400
58,[0.643362 0.356638],18 : 10401
59,[0.643362 0.356638],18 : 10402
58,[0.717669 0.282331],13 : 10403
68,[0.927059 0.0729409],14 : 10404
69,[0.905748 0.0942525],14 : 10405
67,[0.717669 0.282331],18 : 10406
68,[0.717669 0.282331],18 : 10407
69,[0.717669 0.282331],18 : 10408
66,[0.297584 0.702416],13 : 10409
55,[0.346222 0.653778],14 : 10410
56,[0.346222 0.653778],14 : 10411
57,[0.346222 0.653778],14 : 10412
65,[0.346222 0.653778],14 : 10413
67,[0.346222 0.653778],14 : 10414
75,[0.346222 0.653778],14 : 10415
76,[0.346222 0.653778],14 : 10416
77,[0.346222 0.653778],14 : 10417
75,[0.297584 0.702416],18 : 10418
76,[0.297584 0.702416],18 : 10419
77,[0.297584 0.702416],18 : 10420
67,[0.717669 0.282331],13 : 10421
58,[0.760619 0.239381],14 : 10422
68,[0.760619 0.239381],14 : 10423
78,[0.760619 0.239381],14 : 10424
76,[0.927059 0.0729409],18 : 10425
68,[0.717669 0.282331],13 : 10426
59,[0.760619 0.239381],14 : 10427
69,[0.760619 0.239381],14 : 10428
79,[0.760619 0.239381],14 : 10429
77,[0.927059 0.0729409],18 : 10430
68,[0.50416 0.49584],17 : 10431
58,[0.50416 0.49584],12 : 10432
68,[0.835632 0.164368],13 : 10433
69,[0.50416 0.49584],17 : 10434
66,[0.50416 0.49584],12 : 10435
55,[0.55966 0.44034],13 : 10436
65,[0.864036 0.135964],14 : 10437
64,[0.55966 0.44034],18 : 10438
65,[0.55966 0.44034],18 : 10439
66,[0.55966 0.44034],18 : 10440
56,[0.55966 0.44034],13 : 10441
45,[0.597959 0.402041],14 : 10442
67,[0.706094 0.293906],14 : 10443
67,[0.55966 0.44034],18 : 10444
57,[0.55966 0.44034],13 : 10445
48,[0.692776 0.307224],14 : 10446
66,[0.346222 0.653778],14 : 10447
68,[0.55966 0.44034],18 : 10448
65,[0.55966 0.44034],13 : 10449
54,[0.613708 0.386292],14 : 10450
55,[0.613708 0.386292],14 : 10451
56,[0.613708 0.386292],14 : 10452
64,[0.613708 0.386292],14 : 10453
66,[0.613708 0.386292],14 : 10454
74,[0.613708 0.386292],14 : 10455
75,[0.613708 0.386292],14 : 10456
76,[0.613708 0.386292],14 : 10457
76,[0.797572 0.202428],18 : 10458
67,[0.55966 0.44034],13 : 10459
57,[0.613708 0.386292],14 : 10460
58,[0.613708 0.386292],14 : 10461
68,[0.613708 0.386292],14 : 10462
77,[0.613708 0.386292],14 : 10463
78,[0.613708 0.386292],14 : 10464
76,[0.864036 0.135964],18 : 10465
75,[0.55966 0.44034],13 : 10466
65,[0.613708 0.386292],14 : 10467
84,[0.613708 0.386292],14 : 10468
85,[0.613708 0.386292],14 : 10469
86,[0.613708 0.386292],14 : 10470
86,[0.797572 0.202428],18 : 10471
76,[0.55966 0.44034],13 : 10472
67,[0.613708 0.386292],14 : 10473
87,[0.613708 0.386292],14 : 10474
77,[0.55966 0.44034],13 : 10475
75,[0.50416 0.49584],17 : 10476
76,[0.50416 0.49584],17 : 10477
77,[0.50416 0.49584],17 : 10478
68,[0.50416 0.49584],12 : 10479
58,[0.55966 0.44034],13 : 10480
68,[0.864036 0.135964],14 : 10481
69,[0.55966 0.44034],18 : 10482
59,[0.55966 0.44034],13 : 10483
48,[0.497876 0.502124],14 : 10484
58,[0.679311 0.320689],14 : 10485
59,[0.536228 0.463772],14 : 10486
68,[0.864036 0.135964],18 : 10487
69,[0.55966 0.44034],13 : 10488
59,[0.613708 0.386292],14 : 10489
69,[0.480992 0.519008],14 : 10490
79,[0.613708 0.386292],14 : 10491
78,[0.864036 0.135964],18 : 10492
78,[0.55966 0.44034],13 : 10493
79,[0.55966 0.44034],13 : 10494
77,[0.835632 0.164368],17 : 10495
76,[0.50416 0.49584],12 : 10496
66,[0.55966 0.44034],13 : 10497
75,[0.55966 0.44034],18 : 10498
76,[0.55966 0.44034],18 : 10499
77,[0.55966 0.44034],18 : 10500
85,[0.55966 0.44034],13 : 10501
94,[0.613708 0.386292],14 : 10502
95,[0.613708 0.386292],14 : 10503
96,[0.613708 0.386292],14 : 10504
86,[0.55966 0.44034],13 : 10505
97,[0.613708 0.386292],14 : 10506
87,[0.55966 0.44034],13 : 10507
77,[0.50416 0.49584],12 : 10508
78,[0.50416 0.49584],12 : 10509
76,[0.802649 0.197351],16 : 10510
68,[0.448557 0.551443],11 : 10511
59,[0.50416 0.49584],12 : 10512
48,[0.442348 0.557652],13 : 10513
57,[0.397963 0.602037],14 : 10514
58,[0.798637 0.201363],14 : 10515
57,[0.442348 0.557652],18 : 10516
58,[0.442348 0.557652],18 : 10517
59,[0.442348 0.557652],18 : 10518
58,[0.628892 0.371108],13 : 10519
67,[0.585439 0.414561],14 : 10520
68,[0.894439 0.105561],14 : 10521
69,[0.864984 0.135016],14 : 10522
67,[0.628892 0.371108],18 : 10523
68,[0.628892 0.371108],18 : 10524
69,[0.628892 0.371108],18 : 10525
59,[0.480516 0.519484],13 : 10526
48,[0.419152 0.580848],14 : 10527
58,[0.606554 0.393446],14 : 10528
59,[0.456959 0.543041],14 : 10529
68,[0.606554 0.393446],14 : 10530
69,[0.606554 0.393446],14 : 10531
68,[0.82222 0.17778],18 : 10532
68,[0.628892 0.371108],13 : 10533
57,[0.679311 0.320689],14 : 10534
59,[0.679311 0.320689],14 : 10535
78,[0.679311 0.320689],14 : 10536
79,[0.679311 0.320689],14 : 10537
77,[0.894439 0.105561],18 : 10538
69,[0.628892 0.371108],13 : 10539
69,[0.552706 0.447294],14 : 10540
78,[0.894439 0.105561],18 : 10541
68,[0.835632 0.164368],17 : 10542
67,[0.50416 0.49584],12 : 10543
68,[0.55966 0.44034],13 : 10544
69,[0.613708 0.386292],14 : 10545
77,[0.864036 0.135964],18 : 10546
76,[0.835632 0.164368],17 : 10547
69,[0.50416 0.49584],12 : 10548
69,[0.42575 0.57425],13 : 10549
58,[0.480992 0.519008],14 : 10550
59,[0.480992 0.519008],14 : 10551
68,[0.480992 0.519008],14 : 10552
69,[0.350904 0.649096],14 : 10553
78,[0.480992 0.519008],14 : 10554
79,[0.480992 0.519008],14 : 10555
78,[0.787551 0.212449],18 : 10556
78,[0.835632 0.164368],17 : 10557
79,[0.50416 0.49584],12 : 10558
77,[0.802649 0.197351],16 : 10559
69,[0.448557 0.551443],11 : 10560
69,[0.372301 0.627699],12 : 10561
58,[0.42575 0.57425],13 : 10562
67,[0.38189 0.61811],14 : 10563
68,[0.787551 0.212449],14 : 10564
67,[0.42575 0.57425],18 : 10565
68,[0.42575 0.57425],18 : 10566
69,[0.42575 0.57425],18 : 10567
59,[0.42575 0.57425],13 : 10568
48,[0.366446 0.633554],14 : 10569
58,[0.552706 0.447294],14 : 10570
59,[0.402796 0.597204],14 : 10571
68,[0.552706 0.447294],14 : 10572
68,[0.787551 0.212449],18 : 10573
68,[0.42575 0.57425],13 : 10574
57,[0.480992 0.519008],14 : 10575
67,[0.480992 0.519008],14 : 10576
77,[0.480992 0.519008],14 : 10577
77,[0.787551 0.212449],18 : 10578
69,[0.301912 0.698088],13 : 10579
58,[0.350904 0.649096],14 : 10580
59,[0.350904 0.649096],14 : 10581
68,[0.350904 0.649096],14 : 10582
69,[0.239748 0.760252],14 : 10583
78,[0.350904 0.649096],14 : 10584
79,[0.350904 0.649096],14 : 10585
78,[0.683786 0.316214],18 : 10586
78,[0.42575 0.57425],13 : 10587
79,[0.42575 0.57425],13 : 10588
78,[0.747832 0.252168],17 : 10589
78,[0.802649 0.197351],16 : 10590
59,[0.829948 0.170052],6 : 10591
49,[0.493955 0.506045],10 : 10592
58,[0.448557 0.551443],11 : 10593
67,[0.404 0.596],12 : 10594
56,[0.458674 0.541326],13 : 10595
45,[0.497876 0.502124],14 : 10596
55,[0.679311 0.320689],14 : 10597
67,[0.615626 0.384374],14 : 10598
65,[0.458674 0.541326],18 : 10599
66,[0.458674 0.541326],18 : 10600
67,[0.458674 0.541326],18 : 10601
57,[0.458674 0.541326],13 : 10602
48,[0.600528 0.399472],14 : 10603
66,[0.260928 0.739072],14 : 10604
68,[0.458674 0.541326],18 : 10605
58,[0.458674 0.541326],13 : 10606
67,[0.413867 0.586133],14 : 10607
68,[0.809036 0.190964],14 : 10608
69,[0.76209 0.23791],14 : 10609
69,[0.458674 0.541326],18 : 10610
78,[0.458674 0.541326],13 : 10611
76,[0.772171 0.227829],17 : 10612
68,[0.802649 0.197351],12 : 10613
69,[0.754609 0.245391],12 : 10614
58,[0.793556 0.206444],13 : 10615
67,[0.76209 0.23791],14 : 10616
68,[0.950543 0.049457],14 : 10617
69,[0.935616 0.0643837],14 : 10618
67,[0.793556 0.206444],18 : 10619
68,[0.793556 0.206444],18 : 10620
69,[0.793556 0.206444],18 : 10621
59,[0.793556 0.206444],13 : 10622
48,[0.749925 0.250075],14 : 10623
58,[0.864984 0.135016],14 : 10624
59,[0.777625 0.222375],14 : 10625
68,[0.864984 0.135016],14 : 10626
68,[0.950543 0.049457],18 : 10627
69,[0.691576 0.308424],13 : 10628
58,[0.73704 0.26296],14 : 10629
59,[0.73704 0.26296],14 : 10630
69,[0.620493 0.379507],14 : 10631
78,[0.73704 0.26296],14 : 10632
79,[0.73704 0.26296],14 : 10633
78,[0.91811 0.0818905],18 : 10634
78,[0.793556 0.206444],13 : 10635
79,[0.793556 0.206444],13 : 10636
78,[0.938934 0.0610662],17 : 10637
67,[0.448557 0.551443],16 : 10638
68,[0.448557 0.551443],16 : 10639
69,[0.448557 0.551443],16 : 10640
59,[0.829948 0.170052],11 : 10641
49,[0.493955 0.506045],15 : 10642
58,[0.448557 0.551443],16 : 10643
59,[0.829948 0.170052],16 : 10644
49,[0.493955 0.506045],20 : 10645
58,[0.493955 0.506045],20 : 10646
59,[0.493955 0.506045],20 : 10647
58,[0.493955 0.506045],15 : 10648
68,[0.829948 0.170052],16 : 10649
69,[0.786788 0.213212],16 : 10650
67,[0.493955 0.506045],20 : 10651
68,[0.493955 0.506045],20 : 10652
69,[0.493955 0.506045],20 : 10653
59,[0.493955 0.506045],15 : 10654
48,[0.432303 0.567697],16 : 10655
58,[0.619315 0.380685],16 : 10656
59,[0.470335 0.529665],16 : 10657
68,[0.619315 0.380685],16 : 10658
69,[0.619315 0.380685],16 : 10659
68,[0.829948 0.170052],20 : 10660
58,[0.493955 0.506045],10 : 10661
68,[0.829948 0.170052],11 : 10662
69,[0.786788 0.213212],11 : 10663
58,[0.821833 0.178167],12 : 10664
59,[0.821833 0.178167],12 : 10665
68,[0.821833 0.178167],12 : 10666
69,[0.729052 0.270948],12 : 10667
58,[0.770822 0.229178],13 : 10668
68,[0.943874 0.0561257],14 : 10669
69,[0.927089 0.0729107],14 : 10670
67,[0.770822 0.229178],18 : 10671
68,[0.770822 0.229178],18 : 10672
69,[0.770822 0.229178],18 : 10673
59,[0.770822 0.229178],13 : 10674
48,[0.724058 0.275942],14 : 10675
58,[0.848616 0.151384],14 : 10676
59,[0.753682 0.246318],14 : 10677
68,[0.848616 0.151384],14 : 10678
69,[0.848616 0.151384],14 : 10679
68,[0.943874 0.0561257],18 : 10680
68,[0.770822 0.229178],13 : 10681
57,[0.807851 0.192149],14 : 10682
58,[0.807851 0.192149],14 : 10683
59,[0.807851 0.192149],14 : 10684
67,[0.807851 0.192149],14 : 10685
69,[0.807851 0.192149],14 : 10686
77,[0.807851 0.192149],14 : 10687
78,[0.807851 0.192149],14 : 10688
79,[0.807851 0.192149],14 : 10689
77,[0.943874 0.0561257],18 : 10690
69,[0.66239 0.33761],13 : 10691
58,[0.710355 0.289645],14 : 10692
59,[0.710355 0.289645],14 : 10693
68,[0.710355 0.289645],14 : 10694
69,[0.588583 0.411417],14 : 10695
78,[0.710355 0.289645],14 : 10696
79,[0.710355 0.289645],14 : 10697
78,[0.907493 0.0925069],18 : 10698
78,[0.770822 0.229178],13 : 10699
79,[0.770822 0.229178],13 : 10700
78,[0.930814 0.0691864],17 : 10701
78,[0.821833 0.178167],12 : 10702
79,[0.821833 0.178167],12 : 10703
78,[0.948588 0.0514117],16 : 10704
67,[0.493955 0.506045],15 : 10705
56,[0.549577 0.450423],16 : 10706
57,[0.549577 0.450423],16 : 10707
58,[0.549577 0.450423],16 : 10708
66,[0.549577 0.450423],16 : 10709
68,[0.549577 0.450423],16 : 10710
76,[0.549577 0.450423],16 : 10711
77,[0.549577 0.450423],16 : 10712
78,[0.549577 0.450423],16 : 10713
76,[0.829948 0.170052],20 : 10714
